epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.943,1.92402,1.37416,1.49098,0.7201,0.60205,0.67062,0.29704,1.85844,1.24332,1.43995,0.000662698,0.000662698,0.000662698
2,232.775,1.77985,1.11918,1.39505,0.79252,0.7541,0.78757,0.35797,1.80225,1.04504,1.38882,0.00130304,0.00130304,0.00130304
3,350.229,1.7806,1.10772,1.39674,0.83336,0.7967,0.8361,0.41043,1.76059,0.9503,1.39325,0.00191699,0.00191699,0.00191699
4,467.701,1.76489,1.09038,1.38814,0.83198,0.74879,0.81042,0.38162,1.82587,0.95553,1.40013,0.0018812,0.0018812,0.0018812
5,584.441,1.737,1.04148,1.37111,0.84734,0.79993,0.85187,0.43802,1.66723,0.86264,1.33206,0.0018416,0.0018416,0.0018416
6,701.791,1.70544,0.99979,1.35699,0.84675,0.80478,0.84554,0.41907,1.71297,0.87184,1.34197,0.001802,0.001802,0.001802
7,822.448,1.6838,0.9697,1.34093,0.86232,0.82452,0.87117,0.44484,1.68637,0.79861,1.3196,0.0017624,0.0017624,0.0017624
8,945.007,1.68388,0.96006,1.33871,0.85209,0.82269,0.85763,0.43267,1.68674,0.84427,1.32745,0.0017228,0.0017228,0.0017228
9,1065.97,1.66174,0.94166,1.33271,0.88049,0.83076,0.88169,0.46397,1.62908,0.77577,1.29629,0.0016832,0.0016832,0.0016832
10,1188.45,1.64212,0.91415,1.31369,0.86168,0.8438,0.87641,0.46157,1.61967,0.77899,1.28488,0.0016436,0.0016436,0.0016436
